NYISO, Date , Low , Average , High , AvgChg 
SPP SOUTH HUB RTBM LMP [Peak HE7-HE22],9-Oct,19.05,30.23,84.43,5.53
SPP SOUTH HUB RTBM LMP [Off Peak],9-Oct,16.12,21.49,28.65,21.05
SPP NORTH HUB RTBM LMP [Peak HE7-HE22],9-Oct,19.38,31.85,155.57,11.92
SPP NORTH HUB RTBM LMP [Off Peak],9-Oct,9.37,20.29,30.86,27.01
SPP SOUTH HUB Day Ahead LMP [Peak HE7-HE22],10-Oct,10.06,28.58,45.52,-13.19
SPP SOUTH HUB Day Ahead LMP [Off Peak],10-Oct,-6.27,10.05,18.34,-11.63
SPP NORTH HUB Day Ahead LMP [Peak HE7-HE22],10-Oct,6.38,25.55,48.04,-18.62
SPP NORTH HUB Day Ahead LMP [Off Peak],10-Oct,-8.91,7.9,16.44,-12.62
CAISO, Date , Low , Average , High , AvgChg 
RTM Energy Component [Peak HE7-HE22],9-Oct,31.13,58.21,94.57,9.56
RTM Energy Component [Off Peak],9-Oct,41.52,48.6,65.39,-2.98
NP15_GEN-APND RTM [Peak HE7-HE22],9-Oct,34.79,58.71,85.88,11.45
NP15_GEN-APND RTM [Off Peak],9-Oct,40.41,47.62,63.38,-2.84
SP15_GEN-APND RTM [Peak HE7-HE22],9-Oct,20.77,50.01,91.81,4.65
SP15_GEN-APND RTM [Off Peak],9-Oct,40.18,47.04,63.25,-2.75
ZP26_GEN-APND RTM [Peak HE7-HE22],9-Oct,22.56,57.89,89.26,12.19
ZP26_GEN-APND RTM [Off Peak],9-Oct,40.01,46.8,62.18,-2.98
DAM Energy Component [Peak HE7-HE22],10-Oct,32.66,50.21,76.68,-7.84
DAM Energy Component [Off Peak],10-Oct,49.08,53.1,59.95,-4.83
NP15_GEN-APND DAM [Peak HE7-HE22],10-Oct,39.88,54.11,76.27,-4.99
NP15_GEN-APND DAM [Off Peak],10-Oct,48.26,51.99,57.94,-4.16
SP15_GEN-APND DAM [Peak HE7-HE22],10-Oct,12.43,39.15,76.96,-11.22
SP15_GEN-APND DAM [Off Peak],10-Oct,47.29,51.05,57.51,-5.24
ZP26_GEN-APND DAM [Peak HE7-HE22],10-Oct,16.67,42.03,76.68,-11.42
ZP26_GEN-APND DAM [Off Peak],10-Oct,47.04,50.62,56.66,-4.85
IESO ($CAD) EPT, Date , Low , Average , High , AvgChg 
HOEP Price [Peak HE8-HE23],9-Oct,0.5,21.51,41.05,15.78
HOEP Price [Off Peak],9-Oct,0,5.68,39.47,4.71
Day Ahead PreDispatch,10-Oct,14.37,33.76,50.45,8.97
NYSI - UnCnstr ENGY,9-Oct,0,16.23,70.08,12.09
MISI- UnCnstr ENGY,9-Oct,3.87,33.74,84.45,16.24
MNSI - UnCnstr ENGY,9-Oct,0,43.48,103.99,12.75
AESO Alberta ($CAD), Date , Low , Average , High , AvgChg 
Hourly Actual,9-Oct,29.41,71.61,291.78,33.73
Hourly Actual [Peak HE7-HE22],9-Oct,29.41,83.16,291.78,43.09
Hourly Actual [Off Peak],9-Oct,40.95,48.49,54.17,15.03
